Kernel,Smoothing Param,Accuracy,Accuracy (%),F1-Score,Precision,Recall
Uniform,0.8120760112613691,0.125,12.50%,2.78%,12.50%,12.50%
Triangle,0.8120760112613691,0.125,12.50%,2.78%,12.50%,12.50%
Gaussian,0.8120760112613691,0.11875,11.88%,8.84%,11.88%,11.88%
Epanechnikov,0.8120760112613691,0.125,12.50%,2.78%,12.50%,12.50%
Laplacian,0.8120760112613691,0.0875,8.75%,7.29%,8.75%,8.75%
