Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall,frame_number
Uniform,0.05,12.50%,2.78%,12.50%,12.50%,50
Uniform,0.1,15.62%,7.51%,15.62%,15.62%,50
Uniform,0.2,21.25%,18.22%,21.25%,21.25%,50
Uniform,0.3,23.12%,17.58%,23.12%,23.12%,50
Uniform,0.5,17.50%,14.52%,17.50%,17.50%,50
Uniform,0.6,15.62%,12.19%,15.62%,15.62%,50
Uniform,0.7,27.50%,18.10%,27.50%,27.50%,50
Uniform,0.8,15.62%,12.71%,15.62%,15.62%,50
Uniform,1.0,7.50%,4.52%,7.50%,7.50%,50
Uniform,1.2,10.62%,3.92%,10.62%,10.62%,50
Triangle,0.05,15.00%,13.14%,15.00%,15.00%,50
Triangle,0.1,20.62%,16.37%,20.62%,20.62%,50
Triangle,0.2,20.62%,15.98%,20.62%,20.62%,50
Triangle,0.3,20.00%,15.05%,20.00%,20.00%,50
Triangle,0.5,18.75%,13.63%,18.75%,18.75%,50
Triangle,0.6,18.75%,13.63%,18.75%,18.75%,50
Triangle,0.7,18.75%,13.63%,18.75%,18.75%,50
Triangle,0.8,18.75%,13.63%,18.75%,18.75%,50
Triangle,1.0,18.75%,13.63%,18.75%,18.75%,50
Triangle,1.2,18.75%,13.63%,18.75%,18.75%,50
Gaussian,0.05,18.75%,17.12%,18.75%,18.75%,50
Gaussian,0.1,16.25%,13.97%,16.25%,16.25%,50
Gaussian,0.2,20.00%,15.03%,20.00%,20.00%,50
Gaussian,0.3,18.12%,13.29%,18.12%,18.12%,50
Gaussian,0.5,18.12%,12.34%,18.12%,18.12%,50
Gaussian,0.6,19.38%,12.92%,19.38%,19.38%,50
Gaussian,0.7,19.38%,12.90%,19.38%,19.38%,50
Gaussian,0.8,18.75%,12.42%,18.75%,18.75%,50
Gaussian,1.0,18.75%,12.42%,18.75%,18.75%,50
Gaussian,1.2,18.75%,12.42%,18.75%,18.75%,50
Laplacian,0.05,15.00%,13.14%,15.00%,15.00%,50
Laplacian,0.1,20.62%,16.37%,20.62%,20.62%,50
Laplacian,0.2,20.62%,15.98%,20.62%,20.62%,50
Laplacian,0.3,20.00%,15.05%,20.00%,20.00%,50
Laplacian,0.5,18.75%,13.63%,18.75%,18.75%,50
Laplacian,0.6,18.75%,13.63%,18.75%,18.75%,50
Laplacian,0.7,18.75%,13.63%,18.75%,18.75%,50
Laplacian,0.8,18.75%,13.63%,18.75%,18.75%,50
Laplacian,1.0,18.75%,13.63%,18.75%,18.75%,50
Laplacian,1.2,18.75%,13.63%,18.75%,18.75%,50
Epanechnikov,0.05,12.50%,2.78%,12.50%,12.50%,50
Epanechnikov,0.1,16.25%,8.21%,16.25%,16.25%,50
Epanechnikov,0.2,20.00%,16.63%,20.00%,20.00%,50
Epanechnikov,0.3,19.38%,16.61%,19.38%,19.38%,50
Epanechnikov,0.5,18.12%,13.45%,18.12%,18.12%,50
Epanechnikov,0.6,18.12%,12.51%,18.12%,18.12%,50
Epanechnikov,0.7,19.38%,12.90%,19.38%,19.38%,50
Epanechnikov,0.8,18.75%,12.47%,18.75%,18.75%,50
Epanechnikov,1.0,18.12%,11.97%,18.12%,18.12%,50
Epanechnikov,1.2,18.12%,11.97%,18.12%,18.12%,50
