Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall,frame_number
Uniform,0.05,12.50%,2.78%,12.50%,12.50%,60
Uniform,0.1,13.75%,5.19%,13.75%,13.75%,60
Uniform,0.2,20.00%,16.56%,20.00%,20.00%,60
Uniform,0.3,25.62%,19.75%,25.62%,25.62%,60
Uniform,0.5,21.88%,15.97%,21.88%,21.88%,60
Uniform,0.6,13.12%,10.42%,13.12%,13.12%,60
Uniform,0.7,16.25%,12.55%,16.25%,16.25%,60
Uniform,0.8,26.88%,17.11%,26.88%,26.88%,60
Uniform,1.0,17.50%,12.33%,17.50%,17.50%,60
Uniform,1.2,6.88%,4.19%,6.88%,6.88%,60
Triangle,0.05,18.75%,15.82%,18.75%,18.75%,60
Triangle,0.1,25.00%,19.69%,25.00%,25.00%,60
Triangle,0.2,29.38%,22.78%,29.38%,29.38%,60
Triangle,0.3,30.00%,23.22%,30.00%,30.00%,60
Triangle,0.5,30.00%,23.22%,30.00%,30.00%,60
Triangle,0.6,30.00%,23.22%,30.00%,30.00%,60
Triangle,0.7,30.00%,23.22%,30.00%,30.00%,60
Triangle,0.8,30.00%,23.22%,30.00%,30.00%,60
Triangle,1.0,30.00%,23.22%,30.00%,30.00%,60
Triangle,1.2,30.63%,23.65%,30.63%,30.63%,60
Gaussian,0.05,16.88%,14.64%,16.88%,16.88%,60
Gaussian,0.1,18.75%,17.17%,18.75%,18.75%,60
Gaussian,0.2,28.75%,21.86%,28.75%,28.75%,60
Gaussian,0.3,30.00%,23.21%,30.00%,30.00%,60
Gaussian,0.5,31.25%,24.36%,31.25%,31.25%,60
Gaussian,0.6,31.87%,25.36%,31.87%,31.87%,60
Gaussian,0.7,32.50%,25.74%,32.50%,32.50%,60
Gaussian,0.8,31.25%,24.91%,31.25%,31.25%,60
Gaussian,1.0,27.50%,22.14%,27.50%,27.50%,60
Gaussian,1.2,26.88%,21.87%,26.88%,26.88%,60
Laplacian,0.05,18.75%,15.82%,18.75%,18.75%,60
Laplacian,0.1,25.00%,19.69%,25.00%,25.00%,60
Laplacian,0.2,29.38%,22.78%,29.38%,29.38%,60
Laplacian,0.3,30.00%,23.22%,30.00%,30.00%,60
Laplacian,0.5,30.00%,23.22%,30.00%,30.00%,60
Laplacian,0.6,30.00%,23.22%,30.00%,30.00%,60
Laplacian,0.7,30.00%,23.22%,30.00%,30.00%,60
Laplacian,0.8,30.00%,23.22%,30.00%,30.00%,60
Laplacian,1.0,30.00%,23.22%,30.00%,30.00%,60
Laplacian,1.2,30.63%,23.65%,30.63%,30.63%,60
Epanechnikov,0.05,12.50%,2.78%,12.50%,12.50%,60
Epanechnikov,0.1,13.75%,5.34%,13.75%,13.75%,60
Epanechnikov,0.2,18.12%,15.65%,18.12%,18.12%,60
Epanechnikov,0.3,23.75%,20.50%,23.75%,23.75%,60
Epanechnikov,0.5,28.75%,22.41%,28.75%,28.75%,60
Epanechnikov,0.6,31.25%,24.38%,31.25%,31.25%,60
Epanechnikov,0.7,26.88%,20.93%,26.88%,26.88%,60
Epanechnikov,0.8,26.25%,19.83%,26.25%,26.25%,60
Epanechnikov,1.0,25.62%,21.06%,25.62%,25.62%,60
Epanechnikov,1.2,25.62%,21.06%,25.62%,25.62%,60
