Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall,frame_number
Uniform,0.05,12.50%,2.81%,12.50%,12.50%,40
Uniform,0.1,16.25%,10.08%,16.25%,16.25%,40
Uniform,0.2,22.50%,18.73%,22.50%,22.50%,40
Uniform,0.3,31.25%,21.98%,31.25%,31.25%,40
Uniform,0.5,14.37%,10.90%,14.37%,14.37%,40
Uniform,0.6,19.38%,13.42%,19.38%,19.38%,40
Uniform,0.7,30.63%,19.65%,30.63%,30.63%,40
Uniform,0.8,16.25%,12.87%,16.25%,16.25%,40
Uniform,1.0,5.62%,3.00%,5.62%,5.62%,40
Uniform,1.2,12.50%,3.52%,12.50%,12.50%,40
Triangle,0.05,20.00%,17.11%,20.00%,20.00%,40
Triangle,0.1,28.12%,21.56%,28.12%,28.12%,40
Triangle,0.2,29.38%,22.31%,29.38%,29.38%,40
Triangle,0.3,29.38%,22.31%,29.38%,29.38%,40
Triangle,0.5,29.38%,22.31%,29.38%,29.38%,40
Triangle,0.6,30.00%,23.47%,30.00%,30.00%,40
Triangle,0.7,30.00%,23.62%,30.00%,30.00%,40
Triangle,0.8,30.00%,23.62%,30.00%,30.00%,40
Triangle,1.0,30.00%,23.62%,30.00%,30.00%,40
Triangle,1.2,30.00%,23.62%,30.00%,30.00%,40
Gaussian,0.05,18.12%,15.33%,18.12%,18.12%,40
Gaussian,0.1,25.00%,22.10%,25.00%,25.00%,40
Gaussian,0.2,30.00%,22.57%,30.00%,30.00%,40
Gaussian,0.3,30.63%,23.15%,30.63%,30.63%,40
Gaussian,0.5,31.87%,24.82%,31.87%,31.87%,40
Gaussian,0.6,31.87%,24.96%,31.87%,31.87%,40
Gaussian,0.7,30.00%,24.22%,30.00%,30.00%,40
Gaussian,0.8,27.50%,22.23%,27.50%,27.50%,40
Gaussian,1.0,26.88%,21.65%,26.88%,26.88%,40
Gaussian,1.2,26.88%,21.65%,26.88%,26.88%,40
Laplacian,0.05,20.00%,17.11%,20.00%,20.00%,40
Laplacian,0.1,28.12%,21.56%,28.12%,28.12%,40
Laplacian,0.2,29.38%,22.31%,29.38%,29.38%,40
Laplacian,0.3,29.38%,22.31%,29.38%,29.38%,40
Laplacian,0.5,29.38%,22.31%,29.38%,29.38%,40
Laplacian,0.6,30.00%,23.47%,30.00%,30.00%,40
Laplacian,0.7,30.00%,23.62%,30.00%,30.00%,40
Laplacian,0.8,30.00%,23.62%,30.00%,30.00%,40
Laplacian,1.0,30.00%,23.62%,30.00%,30.00%,40
Laplacian,1.2,30.00%,23.62%,30.00%,30.00%,40
Epanechnikov,0.05,12.50%,2.81%,12.50%,12.50%,40
Epanechnikov,0.1,15.62%,9.00%,15.62%,15.62%,40
Epanechnikov,0.2,22.50%,19.30%,22.50%,22.50%,40
Epanechnikov,0.3,23.12%,20.16%,23.12%,23.12%,40
Epanechnikov,0.5,31.87%,24.91%,31.87%,31.87%,40
Epanechnikov,0.6,26.88%,20.41%,26.88%,26.88%,40
Epanechnikov,0.7,25.62%,19.60%,25.62%,25.62%,40
Epanechnikov,0.8,25.62%,20.81%,25.62%,25.62%,40
Epanechnikov,1.0,25.62%,20.81%,25.62%,25.62%,40
Epanechnikov,1.2,25.62%,20.81%,25.62%,25.62%,40
