Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall,frame_number
Uniform,0.05,12.50%,2.78%,12.50%,12.50%,80
Uniform,0.1,15.00%,7.13%,15.00%,15.00%,80
Uniform,0.2,20.62%,20.12%,20.62%,20.62%,80
Uniform,0.3,21.25%,16.40%,21.25%,21.25%,80
Uniform,0.5,22.50%,18.86%,22.50%,22.50%,80
Uniform,0.6,21.25%,15.32%,21.25%,21.25%,80
Uniform,0.7,16.25%,13.52%,16.25%,16.25%,80
Uniform,0.8,15.62%,12.37%,15.62%,15.62%,80
Uniform,1.0,30.00%,19.53%,30.00%,30.00%,80
Uniform,1.2,8.75%,5.04%,8.75%,8.75%,80
Triangle,0.05,19.38%,16.52%,19.38%,19.38%,80
Triangle,0.1,25.00%,19.44%,25.00%,25.00%,80
Triangle,0.2,29.38%,22.82%,29.38%,29.38%,80
Triangle,0.3,29.38%,22.82%,29.38%,29.38%,80
Triangle,0.5,30.00%,23.22%,30.00%,30.00%,80
Triangle,0.6,30.00%,23.22%,30.00%,30.00%,80
Triangle,0.7,30.00%,23.22%,30.00%,30.00%,80
Triangle,0.8,30.00%,23.22%,30.00%,30.00%,80
Triangle,1.0,30.00%,23.22%,30.00%,30.00%,80
Triangle,1.2,30.00%,23.36%,30.00%,30.00%,80
Gaussian,0.05,15.62%,13.85%,15.62%,15.62%,80
Gaussian,0.1,18.12%,15.59%,18.12%,18.12%,80
Gaussian,0.2,28.12%,21.62%,28.12%,28.12%,80
Gaussian,0.3,28.75%,22.42%,28.75%,28.75%,80
Gaussian,0.5,31.25%,24.21%,31.25%,31.25%,80
Gaussian,0.6,31.25%,24.43%,31.25%,31.25%,80
Gaussian,0.7,31.25%,24.51%,31.25%,31.25%,80
Gaussian,0.8,30.63%,24.10%,30.63%,30.63%,80
Gaussian,1.0,28.75%,22.72%,28.75%,28.75%,80
Gaussian,1.2,26.88%,21.25%,26.88%,26.88%,80
Laplacian,0.05,19.38%,16.52%,19.38%,19.38%,80
Laplacian,0.1,25.00%,19.44%,25.00%,25.00%,80
Laplacian,0.2,29.38%,22.82%,29.38%,29.38%,80
Laplacian,0.3,29.38%,22.82%,29.38%,29.38%,80
Laplacian,0.5,30.00%,23.22%,30.00%,30.00%,80
Laplacian,0.6,30.00%,23.22%,30.00%,30.00%,80
Laplacian,0.7,30.00%,23.22%,30.00%,30.00%,80
Laplacian,0.8,30.00%,23.22%,30.00%,30.00%,80
Laplacian,1.0,30.00%,23.22%,30.00%,30.00%,80
Laplacian,1.2,30.00%,23.36%,30.00%,30.00%,80
Epanechnikov,0.05,12.50%,2.78%,12.50%,12.50%,80
Epanechnikov,0.1,15.00%,7.07%,15.00%,15.00%,80
Epanechnikov,0.2,18.12%,15.81%,18.12%,18.12%,80
Epanechnikov,0.3,21.88%,17.99%,21.88%,21.88%,80
Epanechnikov,0.5,28.12%,22.63%,28.12%,28.12%,80
Epanechnikov,0.6,29.38%,21.94%,29.38%,29.38%,80
Epanechnikov,0.7,31.25%,24.39%,31.25%,31.25%,80
Epanechnikov,0.8,26.88%,21.04%,26.88%,26.88%,80
Epanechnikov,1.0,25.62%,19.29%,25.62%,25.62%,80
Epanechnikov,1.2,26.25%,20.96%,26.25%,26.25%,80
