Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall,frame_number
Uniform,0.05,12.50%,2.78%,12.50%,12.50%,120
Uniform,0.1,13.12%,3.94%,13.12%,13.12%,120
Uniform,0.2,16.88%,11.43%,16.88%,16.88%,120
Uniform,0.3,23.12%,19.15%,23.12%,23.12%,120
Uniform,0.5,26.88%,19.84%,26.88%,26.88%,120
Uniform,0.6,25.00%,20.63%,25.00%,25.00%,120
Uniform,0.7,21.25%,15.52%,21.25%,21.25%,120
Uniform,0.8,15.00%,11.60%,15.00%,15.00%,120
Uniform,1.0,17.50%,13.04%,17.50%,17.50%,120
Uniform,1.2,30.63%,18.94%,30.63%,30.63%,120
Triangle,0.05,19.38%,17.30%,19.38%,19.38%,120
Triangle,0.1,21.88%,18.30%,21.88%,21.88%,120
Triangle,0.2,28.75%,22.55%,28.75%,28.75%,120
Triangle,0.3,28.12%,21.99%,28.12%,28.12%,120
Triangle,0.5,28.12%,21.99%,28.12%,28.12%,120
Triangle,0.6,28.12%,21.99%,28.12%,28.12%,120
Triangle,0.7,28.12%,21.99%,28.12%,28.12%,120
Triangle,0.8,28.75%,22.41%,28.75%,28.75%,120
Triangle,1.0,30.00%,23.26%,30.00%,30.00%,120
Triangle,1.2,30.00%,23.26%,30.00%,30.00%,120
Gaussian,0.05,17.50%,15.44%,17.50%,17.50%,120
Gaussian,0.1,17.50%,15.18%,17.50%,17.50%,120
Gaussian,0.2,25.62%,22.11%,25.62%,25.62%,120
Gaussian,0.3,28.12%,21.29%,28.12%,28.12%,120
Gaussian,0.5,29.38%,22.79%,29.38%,29.38%,120
Gaussian,0.6,30.63%,23.80%,30.63%,30.63%,120
Gaussian,0.7,31.25%,24.62%,31.25%,31.25%,120
Gaussian,0.8,31.25%,24.58%,31.25%,31.25%,120
Gaussian,1.0,30.00%,23.79%,30.00%,30.00%,120
Gaussian,1.2,29.38%,23.86%,29.38%,29.38%,120
Laplacian,0.05,19.38%,17.30%,19.38%,19.38%,120
Laplacian,0.1,21.88%,18.30%,21.88%,21.88%,120
Laplacian,0.2,28.75%,22.55%,28.75%,28.75%,120
Laplacian,0.3,28.12%,21.99%,28.12%,28.12%,120
Laplacian,0.5,28.12%,21.99%,28.12%,28.12%,120
Laplacian,0.6,28.12%,21.99%,28.12%,28.12%,120
Laplacian,0.7,28.12%,21.99%,28.12%,28.12%,120
Laplacian,0.8,28.75%,22.41%,28.75%,28.75%,120
Laplacian,1.0,30.00%,23.26%,30.00%,30.00%,120
Laplacian,1.2,30.00%,23.26%,30.00%,30.00%,120
Epanechnikov,0.05,12.50%,2.78%,12.50%,12.50%,120
Epanechnikov,0.1,13.12%,3.94%,13.12%,13.12%,120
Epanechnikov,0.2,16.88%,11.37%,16.88%,16.88%,120
Epanechnikov,0.3,20.00%,17.68%,20.00%,20.00%,120
Epanechnikov,0.5,21.88%,19.65%,21.88%,21.88%,120
Epanechnikov,0.6,28.75%,22.90%,28.75%,28.75%,120
Epanechnikov,0.7,28.12%,20.92%,28.12%,28.12%,120
Epanechnikov,0.8,28.75%,21.72%,28.75%,28.75%,120
Epanechnikov,1.0,25.62%,19.67%,25.62%,25.62%,120
Epanechnikov,1.2,26.25%,20.71%,26.25%,26.25%,120
