Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall,frame_number
Uniform,0.05,12.50%,2.78%,12.50%,12.50%,240
Uniform,0.1,12.50%,2.78%,12.50%,12.50%,240
Uniform,0.2,15.00%,6.81%,15.00%,15.00%,240
Uniform,0.3,21.25%,16.86%,21.25%,21.25%,240
Uniform,0.5,20.62%,16.95%,20.62%,20.62%,240
Uniform,0.6,25.00%,16.95%,25.00%,25.00%,240
Uniform,0.7,31.87%,24.28%,31.87%,31.87%,240
Uniform,0.8,26.88%,20.58%,26.88%,26.88%,240
Uniform,1.0,23.75%,17.67%,23.75%,23.75%,240
Uniform,1.2,14.37%,12.90%,14.37%,14.37%,240
Triangle,0.05,17.50%,16.30%,17.50%,17.50%,240
Triangle,0.1,20.62%,18.41%,20.62%,20.62%,240
Triangle,0.2,28.12%,23.04%,28.12%,28.12%,240
Triangle,0.3,28.75%,22.41%,28.75%,28.75%,240
Triangle,0.5,28.12%,21.99%,28.12%,28.12%,240
Triangle,0.6,27.50%,21.56%,27.50%,27.50%,240
Triangle,0.7,27.50%,21.56%,27.50%,27.50%,240
Triangle,0.8,28.12%,21.99%,28.12%,28.12%,240
Triangle,1.0,28.75%,22.41%,28.75%,28.75%,240
Triangle,1.2,28.75%,22.41%,28.75%,28.75%,240
Gaussian,0.05,22.50%,22.16%,22.50%,22.50%,240
Gaussian,0.1,19.38%,19.39%,19.38%,19.38%,240
Gaussian,0.2,20.62%,18.99%,20.62%,20.62%,240
Gaussian,0.3,26.25%,22.41%,26.25%,26.25%,240
Gaussian,0.5,28.12%,21.95%,28.12%,28.12%,240
Gaussian,0.6,28.12%,21.93%,28.12%,28.12%,240
Gaussian,0.7,29.38%,22.79%,29.38%,29.38%,240
Gaussian,0.8,29.38%,22.79%,29.38%,29.38%,240
Gaussian,1.0,31.25%,24.51%,31.25%,31.25%,240
Gaussian,1.2,30.63%,24.05%,30.63%,30.63%,240
Laplacian,0.05,17.50%,16.30%,17.50%,17.50%,240
Laplacian,0.1,20.62%,18.41%,20.62%,20.62%,240
Laplacian,0.2,28.12%,23.04%,28.12%,28.12%,240
Laplacian,0.3,28.75%,22.41%,28.75%,28.75%,240
Laplacian,0.5,28.12%,21.99%,28.12%,28.12%,240
Laplacian,0.6,27.50%,21.56%,27.50%,27.50%,240
Laplacian,0.7,27.50%,21.56%,27.50%,27.50%,240
Laplacian,0.8,28.12%,21.99%,28.12%,28.12%,240
Laplacian,1.0,28.75%,22.41%,28.75%,28.75%,240
Laplacian,1.2,28.75%,22.41%,28.75%,28.75%,240
Epanechnikov,0.05,12.50%,2.78%,12.50%,12.50%,240
Epanechnikov,0.1,12.50%,2.78%,12.50%,12.50%,240
Epanechnikov,0.2,16.88%,9.20%,16.88%,16.88%,240
Epanechnikov,0.3,16.25%,12.11%,16.25%,16.25%,240
Epanechnikov,0.5,21.25%,17.93%,21.25%,21.25%,240
Epanechnikov,0.6,21.25%,18.25%,21.25%,21.25%,240
Epanechnikov,0.7,21.25%,18.98%,21.25%,21.25%,240
Epanechnikov,0.8,27.50%,23.04%,27.50%,27.50%,240
Epanechnikov,1.0,26.88%,20.38%,26.88%,26.88%,240
Epanechnikov,1.2,29.38%,23.30%,29.38%,29.38%,240
