Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall,frame_number
Uniform,0.05,12.50%,2.84%,12.50%,12.50%,30
Uniform,0.1,18.12%,13.21%,18.12%,18.12%,30
Uniform,0.2,20.62%,16.55%,20.62%,20.62%,30
Uniform,0.3,21.88%,17.20%,21.88%,21.88%,30
Uniform,0.5,17.50%,12.89%,17.50%,17.50%,30
Uniform,0.6,27.50%,18.03%,27.50%,27.50%,30
Uniform,0.7,11.88%,11.09%,11.88%,11.88%,30
Uniform,0.8,3.12%,2.08%,3.12%,3.12%,30
Uniform,1.0,11.25%,3.54%,11.25%,11.25%,30
Uniform,1.2,12.50%,2.78%,12.50%,12.50%,30
Triangle,0.05,25.00%,21.88%,25.00%,25.00%,30
Triangle,0.1,28.12%,22.46%,28.12%,28.12%,30
Triangle,0.2,30.00%,23.88%,30.00%,30.00%,30
Triangle,0.3,30.00%,23.88%,30.00%,30.00%,30
Triangle,0.5,29.38%,23.49%,29.38%,29.38%,30
Triangle,0.6,30.00%,23.96%,30.00%,30.00%,30
Triangle,0.7,30.00%,23.96%,30.00%,30.00%,30
Triangle,0.8,30.00%,23.93%,30.00%,30.00%,30
Triangle,1.0,30.00%,23.90%,30.00%,30.00%,30
Triangle,1.2,30.00%,23.90%,30.00%,30.00%,30
Gaussian,0.05,18.12%,15.95%,18.12%,18.12%,30
Gaussian,0.1,24.38%,20.88%,24.38%,24.38%,30
Gaussian,0.2,29.38%,22.92%,29.38%,29.38%,30
Gaussian,0.3,30.63%,24.39%,30.63%,30.63%,30
Gaussian,0.5,30.00%,24.25%,30.00%,30.00%,30
Gaussian,0.6,30.00%,24.21%,30.00%,30.00%,30
Gaussian,0.7,30.00%,24.21%,30.00%,30.00%,30
Gaussian,0.8,30.63%,25.01%,30.63%,30.63%,30
Gaussian,1.0,28.75%,23.69%,28.75%,28.75%,30
Gaussian,1.2,28.12%,23.25%,28.12%,28.12%,30
Laplacian,0.05,25.00%,21.88%,25.00%,25.00%,30
Laplacian,0.1,28.12%,22.46%,28.12%,28.12%,30
Laplacian,0.2,30.00%,23.88%,30.00%,30.00%,30
Laplacian,0.3,30.00%,23.88%,30.00%,30.00%,30
Laplacian,0.5,29.38%,23.49%,29.38%,29.38%,30
Laplacian,0.6,30.00%,23.96%,30.00%,30.00%,30
Laplacian,0.7,30.00%,23.96%,30.00%,30.00%,30
Laplacian,0.8,30.00%,23.93%,30.00%,30.00%,30
Laplacian,1.0,30.00%,23.90%,30.00%,30.00%,30
Laplacian,1.2,30.00%,23.90%,30.00%,30.00%,30
Epanechnikov,0.05,13.12%,4.03%,13.12%,13.12%,30
Epanechnikov,0.1,15.62%,10.70%,15.62%,15.62%,30
Epanechnikov,0.2,21.25%,17.43%,21.25%,21.25%,30
Epanechnikov,0.3,28.75%,24.00%,28.75%,28.75%,30
Epanechnikov,0.5,28.75%,22.01%,28.75%,28.75%,30
Epanechnikov,0.6,26.25%,21.01%,26.25%,26.25%,30
Epanechnikov,0.7,26.88%,22.28%,26.88%,26.88%,30
Epanechnikov,0.8,26.88%,22.28%,26.88%,26.88%,30
Epanechnikov,1.0,26.88%,22.28%,26.88%,26.88%,30
Epanechnikov,1.2,26.88%,22.28%,26.88%,26.88%,30
